File,Transcription
phrase_apple_301,æpəl
phrase_apple_302,æpəl
phrase_apple_305,æpəl
phrase_apple_306,æpo
phrase_apple_309,æpəl
phrase_apple_311,æpəl
phrase_apple_313,æpo
phrase_apple_316,æpəl
phrase_apple_318,æpəl
phrase_apple_321,æpəl
phrase_apple_322,æpəl
phrase_apple_325,æpəl
phrase_apple_recast_317,æpo
phrase_book_302,bʊk
phrase_book_305,bʊk
phrase_book_306,bʊk
phrase_book_309,bʊk
phrase_book_310,bʊk
phrase_book_313,bʊk
phrase_book_315,bʊk
phrase_book_318,bʊk
phrase_book_321,bʊk
phrase_book_322,bʊk
phrase_book_325,bʊk
phrase_book_326,bʊk
phrase_cat_302,kæt
phrase_cat_304,kæt
phrase_cat_306,kæt
phrase_cat_309,kæt
phrase_cat_310,kæt
phrase_cat_313,kæt
phrase_cat_314,kæt
phrase_cat_318,kæt
phrase_cat_320,kæt
phrase_cat_322,kæt
phrase_cat_325,kæt
phrase_cat_recast_317,kɛt
phrase_chicken_302,tʃɪkɪn
phrase_chicken_303,tʃɪkɪn
phrase_chicken_306,tʃɪkɪn
phrase_chicken_308,tʃɪkɪn
phrase_chicken_310,tʃɪkɪn
phrase_chicken_315,tʃɪkɪn
phrase_chicken_316,tʃukɪn
phrase_chicken_322,tʃɪkɪn
phrase_chicken_323,tʃɪki
phrase_chicken_326,tʃɪkɪn
phrase_chicken_recast_313,tʃɪkɪn
phrase_chicken_recast_319,tʃɪkɪn
phrase_couch_302,gaʊtʃ
phrase_couch_303,kaʊtʃ
phrase_couch_306,kaʊtʃ
phrase_couch_307,kaʊtʃ
phrase_couch_310,kaʊʃ
phrase_couch_312,kɛs
phrase_couch_314,kaʊtʃ
phrase_couch_318,kaʊtʃ
phrase_couch_320,kaʊtʃ
phrase_couch_323,kaʊtʃ
phrase_couch_325,kaʊtʃ
phrase_couch_recast_319,kaʊtʃ
phrase_dog_301,dɑg
phrase_dog_303,dɑg
phrase_dog_308,dɑg
phrase_dog_309,dɑg
phrase_dog_312,dɑk
phrase_dog_313,dɑg
phrase_dog_316,dɑg
phrase_dog_319,dɑgə
phrase_dog_321,dɑg
phrase_dog_324,dɑg
phrase_dog_325,dɑg
phrase_dog_recast_307,dɑg
phrase_dog_recast_317,dɑ
phrase_fish_302,fɪʃ
phrase_fish_304,fɪʃ
phrase_fish_306,fɪʃ
phrase_fish_309,fɪʃ
phrase_fish_310,fɪʃ
phrase_fish_313,fɪʃ
phrase_fish_314,fɪʃ
phrase_fish_318,fɪʃ
phrase_fish_320,fɪʃ
phrase_fish_322,fɪʃ
phrase_fish_325,fɪʃ
phrase_fish_326,fɪʃ
phrase_game_302,geɪm
phrase_game_303,geɪm
phrase_game_307,geɪm
phrase_game_309,geɪm
phrase_game_311,geɪm
phrase_game_314,geɪm
phrase_game_315,geɪm
phrase_game_319,geɪm
phrase_game_320,geɪm
phrase_game_324,geɪm
phrase_game_326,geɪm
phrase_game_recast_317,geɪm
phrase_hammer_302,hæmɚ
phrase_hammer_303,hæmɚ
phrase_hammer_306,hæmo
phrase_hammer_307,hæmo
phrase_hammer_310,hæmɚ
phrase_hammer_312,hæmə
phrase_hammer_314,hæmɚ
phrase_hammer_318,hæmɚ
phrase_hammer_320,hæmə
phrase_hammer_323,hæmbɚ
phrase_hammer_324,hæmɚ
phrase_hammer_recast_317,hæmɚ
phrase_hat_301,hæt
phrase_hat_303,hæt
phrase_hat_306,hæt
phrase_hat_307,hæt
phrase_hat_310,hæt
phrase_hat_311,æt
phrase_hat_314,hæt
phrase_hat_316,hæt
phrase_hat_319,hæt
phrase_hat_322,hæt
phrase_hat_323,hæt
phrase_hat_326,hæʔ
phrase_hat_recast_317,hæt
phrase_house_303,haʊs
phrase_house_305,haʊs
phrase_house_307,haʊs
phrase_house_310,haʊs
phrase_house_311,haʊs
phrase_house_314,haʊs
phrase_house_315,haʊs
phrase_house_320,haʊs
phrase_house_322,haʊs
phrase_house_324,haʊs
phrase_house_recast_317,haʊs
phrase_house_recast_319,haʊs
phrase_juice_303,dʒus
phrase_juice_304,dʒus
phrase_juice_308,dʒus
phrase_juice_310,dʒus
phrase_juice_312,dʒus
phrase_juice_315,dʒus
phrase_juice_316,dʒus
phrase_juice_320,dʒus
phrase_juice_321,dʒus
phrase_juice_325,dʒus
phrase_juice_recast_317,dʒus
phrase_juice_recast_326,dʒuɪs
phrase_knife_303,naɪf
phrase_knife_304,laɪf
phrase_knife_307,naɪf
phrase_knife_308,naɪf
phrase_knife_311,naɪf
phrase_knife_313,naɪf
phrase_knife_315,naɪf
phrase_knife_319,naɪf
phrase_knife_320,naɪf
phrase_knife_323,naɪf
phrase_knife_324,naɪf
phrase_knife_recast_317,naɪf
phrase_lion_302,laɪən
phrase_lion_304,laɪən
phrase_lion_307,laɪən
phrase_lion_308,laɪən
phrase_lion_311,laɪən
phrase_lion_312,laɪn
phrase_lion_315,laɪən
phrase_lion_318,laɪən
phrase_lion_320,laɪn
phrase_lion_323,waɪd
phrase_lion_324,laɪən
phrase_lion_recast_326,jaɪən
phrase_magic_301,mædʒɪk
phrase_magic_304,mædʒɪk
phrase_magic_306,mædʒɪk
phrase_magic_308,mædʒɪk
phrase_magic_312,mædʒɪk
phrase_magic_313,mætʃɪkt
phrase_magic_319,mædʒɪk
phrase_magic_320,mædʒɪk
phrase_magic_324,mædʒɪk
phrase_magic_recast_311,mædʒɪk
phrase_magic_recast_317,mædʒɪ
phrase_magic_recast_326,mædʒɪk
phrase_money_301,mʌni
phrase_money_304,mʌni
phrase_money_305,mʌni
phrase_money_308,mʌni
phrase_money_310,mʌni
phrase_money_312,mʌni
phrase_money_315,mʌni
phrase_money_316,mʌni
phrase_money_321,mʌni
phrase_money_322,mʌni
phrase_money_325,mʌni
phrase_money_recast_317,mʌni
phrase_mouth_301,maʊf
phrase_mouth_304,maʊθ
phrase_mouth_305,maʊθ
phrase_mouth_308,maʊθ
phrase_mouth_309,maʊθ
phrase_mouth_312,maʊs
phrase_mouth_314,maʊθ
phrase_mouth_316,maʊθ
phrase_mouth_321,maʊθ
phrase_mouth_322,maʊθ
phrase_mouth_recast_317,maʊ
phrase_mouth_recast_319,maʊs
phrase_page_301,peɪdʒ
phrase_page_303,peɪdʒ
phrase_page_305,peɪds
phrase_page_308,peɪdʒ
phrase_page_309,peɪdʒ
phrase_page_312,bis
phrase_page_313,pfiʃ
phrase_page_316,peɪdʒ
phrase_page_321,peɪdʒ
phrase_page_323,peɪds
phrase_page_recast_317,peɪdʒ
phrase_page_recast_318,peɪdʒ
phrase_potato_301,poteto
phrase_potato_302,pətedo
phrase_potato_305,pətedo
phrase_potato_308,pətedo
phrase_potato_312,pəteto
phrase_potato_316,pətedo
phrase_potato_318,pəteto
phrase_potato_321,pətedo
phrase_potato_323,pəteto
phrase_potato_recast_307,pətedo
phrase_potato_recast_311,pətedo
phrase_potato_recast_317,pəθedo
phrase_puzzle_301,pʌzo
phrase_puzzle_302,pʌzəl
phrase_puzzle_305,pʌsəl
phrase_puzzle_306,pʌzo
phrase_puzzle_309,pʌzəl
phrase_puzzle_311,pʌzəl
phrase_puzzle_313,bæso
phrase_puzzle_316,pʌzəl
phrase_puzzle_318,pʌzəl
phrase_puzzle_321,pʌzəl
phrase_puzzle_322,pʌzəl
phrase_puzzle_325,pʌzəl
phrase_ring_301,rɪŋ
phrase_ring_303,rɪŋ
phrase_ring_306,
phrase_ring_307,wɪŋ
phrase_ring_310,rɪŋ
phrase_ring_311,rɪŋ
phrase_ring_314,rɪŋ
phrase_ring_316,rɪŋk
phrase_ring_320,rɪŋk
phrase_ring_323,wɪŋk
phrase_ring_324,wɪŋ
phrase_ring_recast_317,rɪŋ
phrase_ring_recast_319,rɪ
phrase_road_303,wɪm
phrase_road_305,rod
phrase_road_307,rod
phrase_road_310,wo
phrase_road_311,rod
phrase_road_314,rod
phrase_road_315,rod
phrase_road_320,rod
phrase_road_322,wod
phrase_road_324,rod
phrase_road_recast_317,ʒo
phrase_road_recast_319,rod
phrase_shoes_303,ʃus
phrase_shoes_304,ʃuz
phrase_shoes_307,ʃuz
phrase_shoes_309,ʃuz
phrase_shoes_311,ʃuz
phrase_shoes_314,ʃuz
phrase_shoes_315,ʃuz
phrase_shoes_319,ʃuz
phrase_shoes_320,ʃus
phrase_shoes_324,ʃuz
phrase_shoes_326,ʃuz
phrase_shoes_recast_323,ɪʃuz
phrase_sock_303,sɑ
phrase_sock_304,sɑk
phrase_sock_307,sɑk
phrase_sock_308,sɑk
phrase_sock_311,sɑk
phrase_sock_313,sɑk
phrase_sock_315,sɑk
phrase_sock_319,sɑk
phrase_sock_320,sɑk
phrase_sock_323,sɑk
phrase_sock_324,sɑk
phrase_sock_recast_317,sʌk
phrase_table_302,tebəl
phrase_table_304,tebəl
phrase_table_307,tebəl
phrase_table_308,tebəl
phrase_table_311,tebəl
phrase_table_312,tibə
phrase_table_315,tebəl
phrase_table_318,tebo
phrase_table_320,tebəl
phrase_table_323,tebəl
phrase_table_324,tebəl
phrase_table_recast_317,tebo
phrase_tape_302,tep
phrase_tape_305,tep
phrase_tape_307,te
phrase_tape_309,tep
phrase_tape_312,tip
phrase_tape_313,tep
phrase_tape_316,tep
phrase_tape_318,tep
phrase_tape_322,tep
phrase_tape_324,tep
phrase_tape_326,tep
phrase_tape_recast_319,tep
phrase_teacher_301,titʃə
phrase_teacher_305,titʃɚ
phrase_teacher_307,titʃo
phrase_teacher_310,titʃɚ
phrase_teacher_312,tilsɚ
phrase_teacher_315,titʃɚ
phrase_teacher_320,titʃ
phrase_teacher_321,titʃə
phrase_teacher_325,titʃɚ
phrase_teacher_recast_303,titʃɚ
phrase_teacher_recast_317,titʃɚ
phrase_teacher_recast_322,titʃo
phrase_thumb_301,θʌm
phrase_thumb_304,θʌm
phrase_thumb_305,θʌm
phrase_thumb_308,sʌm
phrase_thumb_309,θʌm
phrase_thumb_312,θʌm
phrase_thumb_314,θʌm
phrase_thumb_316,θʌm
phrase_thumb_321,θʌm
phrase_thumb_322,fʌm
phrase_thumb_325,θʌm
phrase_thumb_326,θʌm
phrase_tiger_301,tɑɪgɚ
phrase_tiger_303,tɑɪgɚ
phrase_tiger_305,tɑɪgɚ
phrase_tiger_308,tɑɪgɚ
phrase_tiger_309,tɑɪgɚ
phrase_tiger_312,tɑɪgə
phrase_tiger_313,tθɑɪko
phrase_tiger_318,tɑɪgɚ
phrase_tiger_320,tɑɪgə
phrase_tiger_322,tɑɪgo
phrase_tiger_325,tɑɪgɚ
phrase_tiger_recast_316,tɑɪgɚ
phrase_toilet_301,tɔɪlɛt
phrase_toilet_302,tɔɪlɛt
phrase_toilet_305,tɔɪlɪʔ
phrase_toilet_307,tɔɪlɪt
phrase_toilet_309,tɔɪlɪt
phrase_toilet_312,tɔɪʔ
phrase_toilet_313,tɔɪlɪt
phrase_toilet_316,tɔɪlɪʔ
phrase_toilet_318,tɔɪlɪt
phrase_toilet_322,tɔɪlɪt
phrase_toilet_324,tɔɪlɪt
phrase_toilet_326,tɔɪlɪʔ
phrase_TV_301,tivi
phrase_TV_302,tivi
phrase_TV_305,tivi
phrase_TV_306,tivi
phrase_TV_310,tivi
phrase_TV_312,tifi
phrase_TV_314,tivi
phrase_TV_318,tivi
phrase_TV_319,tiləvi
phrase_TV_322,tivi
phrase_TV_323,tivi
phrase_TV_recast_309,tivi
phrase_TV_recast_325,tivi
phrase_van_304,væn
phrase_van_308,væn
phrase_van_310,væn
phrase_van_315,væn
phrase_van_316,væn
phrase_van_322,væn
phrase_van_recast_301,væn
phrase_van_recast_306,væn
phrase_van_recast_313,væn
phrase_van_recast_317,væn
phrase_van_recast_323,væn
phrase_van_recast_324,væn
phrase_video_301,vɪdio
phrase_video_303,vɪdio
phrase_video_305,vɪdio
phrase_video_308,vɪdio
phrase_video_309,vɪdio
phrase_video_314,vɪdio
phrase_video_315,vɪdio
phrase_video_321,vɪdio
phrase_video_recast_311,vɪdio
phrase_video_recast_318,vɪdio
phrase_video_recast_323,vɪdio
phrase_video_recast_325,vɪdio
phrase_wave_301,weɪv
phrase_wave_302,weɪv
phrase_wave_305,weɪv
phrase_wave_307,weɪv
phrase_wave_309,weɪv
phrase_wave_313,weɪv
phrase_wave_314,weɪv
phrase_wave_318,weɪh
phrase_wave_320,weɪv
phrase_wave_324,weɪv
phrase_wave_326,weɪv
phrase_wave_recast_319,wɛm
phrase_web_302,wɛv
phrase_web_303,wɛb
phrase_web_306,wɛb
phrase_web_307,wɛ
phrase_web_310,wɛb
phrase_web_312,wɛp
phrase_web_314,wɛb
phrase_web_318,wɛb
phrase_web_320,wɛb
phrase_web_323,wɛb
phrase_web_324,wɛb
phrase_web_recast_319,wɛb
phrase_yelllow_305,jɛlo
phrase_yellow_303,jɛlo
phrase_yellow_308,jɛlo
phrase_yellow_309,jɛlo
phrase_yellow_313,lɛlo
phrase_yellow_314,jɛlo
phrase_yellow_318,jɛlo
phrase_yellow_321,jɛlo
phrase_yellow_recasat_301,jɛlo
phrase_yellow_recast_317,jɛlə
phrase_yellow_recast_319,hɛlo
phrase_yellow_recast_325,jɛlo
phrase_yellow_recast_326,jɛlo
,
word_apple_303,æpəl
word_apple_305,æpəl
word_apple_307,æpo
word_apple_310,æpəl
word_apple_311,æpəl
word_apple_314,æpəl
word_apple_315,æpəl
word_apple_319,æpəl
word_apple_321,æpəl
word_apple_323,æpəl
word_apple_326,æpəl
word_apple_recast_317,æpo
word_baby_303,bebi
word_baby_304,bebi
word_baby_307,bebi
word_baby_309,bebi
word_baby_311,bebi
word_baby_314,bebi
word_baby_315,bebi
word_baby_319,bɛbi
word_baby_320,bebi
word_baby_323,bebi
word_baby_325,bebi
word_baby_recast_317,bebi
word_beach_303,bitʃ
word_beach_304,bitʃ
word_beach_307,bitʃ
word_beach_308,bitʃ
word_beach_311,bitʃ
word_beach_313,bitʃ
word_beach_315,bitʃ
word_beach_320,bitʃ
word_beach_322,bits
word_beach_325,bitʃ
word_beach_326,bitʃ
word_beach_recast_321,bitʃ
word_cake_302,keɪk
word_cake_304,keɪk
word_cake_307,keɪk
word_cake_308,keɪk
word_cake_311,keɪk
word_cake_312,kɛk
word_cake_315,keɪk
word_cake_318,keɪk
word_cake_320,keɪk
word_cake_323,keɪk
word_cake_324,keɪk
word_cake_recast_317,keɪk
word_chair_301,tʃer
word_chair_304,tʃer
word_chair_306,tʃe
word_chair_308,tʃer
word_chair_311,tʃer
word_chair_312,kæ
word_chair_315,tʃer
word_chair_316,tʃer
word_chair_320,tʃeə
word_chair_322,tʃeə
word_chair_324,tʃer
word_chair_recast_317,tʃer
word_coloring_318,kʌlɚɪŋ
word_coloring_324,kʌlɚɪŋ
word_color_301,kʌlə
word_color_304,kʌlɚ
word_color_309,kʌlɚ
word_color_311,kʌlɚ
word_color_316,kʌlɚ
word_color_320,kʌlə
word_color_recast_308,kʌlɚ
word_color_recast_313,kʌlo
word_color_recast_319,kʌlɚ
word_color_recast_325,kʌlɚ
word_doll_301,dɑl
word_doll_304,dɑl
word_doll_305,dɑl
word_doll_308,dɑl
word_doll_309,dɑl
word_doll_312,dæo
word_doll_314,dɑl
word_doll_316,dɑl
word_doll_320,dɑl
word_doll_321,dɑl
word_doll_324,dɑl
word_doll_325,dɑl
word_face_301,feɪs
word_face_303,feɪs
word_face_305,feɪs
word_face_309,feɪs
word_face_310,feɪs
word_face_313,fɛis
word_face_314,feɪs
word_face_320,feɪs
word_face_322,feɪs
word_face_324,feɪs
word_face_recast_306,feɪs
word_face_recast_317,feɪs
word_five_302,faɪv
word_five_303,faɪv
word_five_306,faɪv
word_five_308,faɪv
word_five_310,faɪv
word_five_313,faɪv
word_five_314,faɪv
word_five_318,faɪf
word_five_319,faɪv
word_five_322,faɪv
word_five_324,faɪv
word_five_326,faɪv
word_foot_302,fʊt
word_foot_303,fʊʔ
word_foot_307,fʊʔ
word_foot_308,fʊt
word_foot_311,fʊt
word_foot_313,tθo
word_foot_315,fʊt
word_foot_321,fʊʔ
word_foot_322,fʊt
word_foot_325,fʊt
word_foot_326,fʌt
word_foot_recast_318,fʊt
word_game_301,geɪm
word_game_303,geɪm
word_game_309,geɪm
word_game_310,geɪm
word_game_313,gim
word_game_314,geɪm
word_game_320,geɪm
word_game_322,geɪm
word_game_324,geɪm
word_game_recast_306,geɪm
word_game_recast_307,geɪm
word_game_recast_319,geɪm
word_hammer_301,hamɚ
word_hammer_304,hæmə
word_hammer_306,hæmə
word_hammer_308,hæmɚ
word_hammer_311,hæmɚ
word_hammer_312,hæmə
word_hammer_315,hæmɚ
word_hammer_316,hæmɚ
word_hammer_321,hæmɚ
word_hammer_323,hæmɚ
word_hammer_325,hæmɚ
word_hammer_recast_319,hæmɚ
word_heavy_301,hɛvi
word_heavy_305,hɛvi
word_heavy_306,hɛvi
word_heavy_310,hɛvi
word_heavy_315,hɛvi
word_heavy_321,hævi
word_heavy_recast_312,hafi
word_heavy_recast_313,hæbi
word_heavy_recast_318,hɛbi
word_heavy_recast_319,hɛvi
word_heavy_recast_323,hɛvi
word_heavy_recast_325,hɛvi
word_honey_301,hʌni
word_honey_304,hʌni
word_honey_305,hɑni
word_honey_308,hʌni
word_honey_309,hʌni
word_honey_312,hʌni
word_honey_314,hʌni
word_honey_316,hʌni
word_honey_321,hʌni
word_honey_322,hʌni
word_honey_325,hʌni
word_honey_326,hʌni
word_jacket_301,dʒækɪt
word_jacket_303,dzækɪt
word_jacket_307,dʒækɪt
word_jacket_310,dʒækɪ
word_jacket_311,dʒækɪt
word_jacket_315,dʒækɪt
word_jacket_316,dʒækɪt
word_jacket_321,dʒækɪt
word_jacket_323,dʒækɪt
word_jacket_325,dʒækɪt
word_jacket_recast_312,dækit
word_jacket_recast_317,dʒækɪt
word_kitchen_301,kɪtʃɪn
word_kitchen_302,kɪtʃɪn
word_kitchen_305,kɪtʃɪn
word_kitchen_307,kɪtʃɪn
word_kitchen_309,kɪtʃɪn
word_kitchen_312,kɪtsɪn
word_kitchen_313,kɪtsɪn
word_kitchen_316,kɪtʃɪn
word_kitchen_318,kɪtʃɪn
word_kitchen_322,kɪtʃɪn
word_kitchen_324,kɪtʃɪn
word_kitchen_326,kɪtʃɪn
word_leaf_301,lif
word_leaf_302,lif
word_leaf_305,lif
word_leaf_306,lif
word_leaf_309,lif
word_leaf_311,lif
word_leaf_313,lif
word_leaf_316,lif
word_leaf_318,liθ
word_leaf_321,lif
word_leaf_322,lif
word_leaf_326,lif
word_leaf_recast_323,lif
word_magic_303,mædʒɪk
word_magic_308,mædʒɪk
word_magic_309,mædʒɪk
word_magic_315,mædʒɪk
word_magic_316,mædʒɪk
word_magic_recast_301,mædʒək
word_magic_recast_307,mædʒɪk
word_magic_recast_311,mædʒɪk
word_magic_recast_318,mædʒɪk
word_magic_recast_319,mɛdʒɪk
word_magic_recast_323,mædʒɪk
word_magic_recast_324,mædʒɪʔ
word_moon_302,mun
word_moon_304,mun
word_moon_306,mun
word_moon_309,mun
word_moon_310,mun
word_moon_313,mon
word_moon_314,mun
word_moon_318,mun
word_moon_320,but
word_moon_322,mun
word_moon_325,mun
word_moon_326,mun
word_nose_302,noz
word_nose_303,nos
word_nose_307,noz
word_nose_309,noz
word_nose_311,noz
word_nose_314,noz
word_nose_315,noz
word_nose_319,noz
word_nose_320,noz
word_nose_323,noz
word_nose_325,noz
word_nose_recast_317,noz
word_page_303,peɪdʒ
word_page_304,peɪdʒ
word_page_307,peɪdʒ
word_page_308,peɪdʒ
word_page_313,pwiʃ
word_page_315,peɪdʒ
word_page_318,peɪtʃ
word_page_322,peɪds
word_page_324,beɪdʒ
word_page_recast_312,bis
word_page_recast_317,peɪdʒ
word_page_recast_326,peɪdʒ
word_pig_302,pɪg
word_pig_304,pɪg
word_pig_307,pɪk
word_pig_308,pɪg
word_pig_311,pɪg
word_pig_312,bɪk
word_pig_315,pɪg
word_pig_318,pɪg
word_pig_320,pɪg
word_pig_324,pɪg
word_pig_325,pɪg
word_pig_recast_323,pɪg
word_puzzle_301,pʌzəl
word_puzzle_304,pʌzəl
word_puzzle_306,pʌzəl
word_puzzle_308,pʌzəl
word_puzzle_311,pʌzəl
word_puzzle_312,paso
word_puzzle_315,pʌzəl
word_puzzle_316,pʌzəl
word_puzzle_320,pʌzəl
word_puzzle_322,pʌzəl
word_puzzle_324,pʌzəl
word_puzzle_recast_317,pʌzðo
word_red_301,rɛd
word_red_304,wɛd
word_red_305,rɛd
word_red_308,rɛd
word_red_310,rɛd
word_red_312,wæd
word_red_315,rɛd
word_red_316,rɛd
word_red_320,rɛd
word_red_321,rɛd
word_red_324,rɛd
word_red_326,rɛd
word_ring_recast_317,rɪ
word_shape_302,ʃeɪp
word_shape_308,ʃeɪp
word_shape_314,ʃeɪp
word_shape_315,ʃeɪp
word_shape_320,ʃeɪp
word_shape_recast_304,ʃeɪp
word_shape_recast_306,sep
word_shape_recast_311,ʃeɪp
word_shape_recast_312,sip
word_shape_recast_321,ʃeɪp
word_shape_recast_322,seɪp
word_shape_recast_326,ʃeɪp
word_singing_304,sɪŋɪŋ
word_singing_309,sɪŋɪŋ
word_singing_313,sinin
word_singing_315,sɪŋɪŋ
word_singing_323,sɪŋgɪŋ
word_sing_301,sɪŋk
word_sing_306,sɪŋ
word_sing_311,sɪŋ
word_sing_316,sɪŋk
word_sing_324,sɪŋ
word_sing_325,sɪŋ
word_sing_recast_319,sɪŋ
word_sneeze_306,nos
word_teeth_302,tiθ
word_teeth_304,tiθ
word_teeth_306,tiθ
word_teeth_309,tiθ
word_teeth_310,tiθ
word_teeth_313,tiθ
word_teeth_314,tiθ
word_teeth_318,tiθ
word_teeth_320,tiθ
word_teeth_322,tiθ
word_teeth_325,tiθ
word_teeth_326,tiθ
word_thumb_302,θʌm
word_thumb_303,θʌm
word_thumb_306,θʌm
word_thumb_308,θʌm
word_thumb_310,θʌm
word_thumb_313,fʌm
word_thumb_314,θʌm
word_thumb_318,θʌm
word_thumb_320,θʌm
word_thumb_323,θʌm
word_thumb_325,θʌm
word_thumb_recast_317,θʌm
word_toys_302,tɔɪz
word_toys_303,tɔɪs
word_toys_306,tɔɪz
word_toys_307,tɔɪz
word_toys_310,tɔɪz
word_toys_312,tsɔɪs
word_toys_315,tɔɪz
word_toys_320,tɔɪz
word_toys_321,tɔɪz
word_toys_324,tɔɪz
word_toys_325,tɔɪz
word_toys_recast_317,tɔɪz
word_videos_309,vɪdioz
word_video_301,vɪdio
word_video_308,vɪdio
word_video_315,vɪdio
word_video_recast_305,vɪdio
word_video_recast_306,vɪdio
word_video_recast_312,fɪdo
word_video_recast_314,vɪdio
word_video_recast_318,vɪdio
word_video_recast_321,vɪdio
word_video_recast_322,vɪdio
word_video_recast_325,vɪdio
word_video_recast_326,vɪdiə
word_wagon_305,wægən
word_wagon_307,wægɪn
word_wagon_309,wægɪn
word_wagon_314,wægɪn
word_wagon_315,wægən
word_wagon_320,wægɪ
word_wagon_321,wægɪn
word_wagon_325,wægɪn
word_wagon_recast_301,wægən
word_wagon_recast_310,wægɪn
word_wagon_recast_318,wægɪn
word_wagon_recast_324,wægən
word_wash_303,wɑs
word_wash_304,wɑʃ
word_wash_307,wɑʃ
word_wash_313,waʃ
word_wash_318,wɑʃ
word_wash_322,wɑs
word_wash_324,wɑʃ
word_wash_recast_310,wɑʃ
word_wash_recast_311,wɑʃ
word_wash_recast_316,wɑʃ
word_wash_recast_319,wɑʃ
word_wash_recast_326,waʃ
word_water_303,wɑdɚ
word_water_304,wɑɾɚ
word_water_307,wɑdo
word_water_308,wɑdɚ
word_water_311,wɑdɚ
word_water_313,wɑdo
word_water_315,wɑdɚ
word_water_319,hwɑtɚ
word_water_320,wɑdə
word_water_323,wɑtɚ
word_water_324,wɑtɚ
word_water_recast_317,wɑdɚ
word_web_302,wɛb
word_web_304,wɛb
word_web_307,wɛb
word_web_308,wɛb
word_web_311,wɛb
word_web_312,wab
word_web_315,wɛb
word_web_318,wɛb
word_web_321,wɛb
word_web_324,wɛb
word_web_325,wɛb
word_web_recast_326,wɛb
word_yelling_313,laʊwin
word_yell_305,jɛl
word_yell_308,jɛl
word_yell_315,jɛl
word_yell_recast_302,jɛl
word_yell_recast_303,jɛl
word_yell_recast_309,jɛl
word_yell_recast_310,jɛl
word_yell_recast_316,jɛl
word_yell_recast_318,jɛl
word_yell_recast_321,jɛl
word_yell_recast_326,jɛl
phrase_apple_301,æpəl
phrase_apple_304,æpəl
phrase_apple_306,æpoʊ
