File,Transcription
phrase_apple_307,æpəl
phrase_apple_310,æpəl
phrase_apple_311,æpəl
phrase_apple_314,æpəl
phrase_apple_316,æpəl
phrase_apple_319,æpəl
phrase_apple_322,æpəl
phrase_apple_323,æpəl
phrase_apple_326,æpə
phrase_apple_recast_317,næpoʊ
phrase_book_303,bʊk
phrase_book_305,bʊk
phrase_book_307,bʊk
phrase_book_310,bʊk
phrase_book_311,bʊk
phrase_book_314,bʊk
phrase_book_315,bʊk
phrase_book_319,buk
phrase_book_321,bʊk
phrase_book_323,bʊk
phrase_book_326,bʊk
phrase_book_recast_317,bʊk
phrase_cat_303,kæ
phrase_cat_304,kæt
phrase_cat_307,kæt
phrase_cat_309,kæt
phrase_cat_311,kæt
phrase_cat_314,kæt
phrase_cat_315,kæt
phrase_cat_319,kɛt
phrase_cat_320,kæt
phrase_cat_323,kæt
phrase_cat_325,kæt
phrase_cat_recast_326,kæ
phrase_chicken_303,tʃɪkən
phrase_chicken_304,tʃɪkən
phrase_chicken_307,tʃɪkən
phrase_chicken_308,tʃɪkən
phrase_chicken_311,tʃɪkən
phrase_chicken_315,tʃɪkən
phrase_chicken_318,tʃɪkən
phrase_chicken_323,tʃɪki
phrase_chicken_324,tʃɪkən
phrase_chicken_recast_312,tɪtən
phrase_chicken_recast_313,tʃɪtsjən
phrase_chicken_recast_320,tʃɪkən
phrase_couch_302,kaʊtʃ
phrase_couch_304,kaʊtʃ
phrase_couch_307,kaʊtʃ
phrase_couch_308,kaʊtʃ
phrase_couch_311,kaʊtʃ
phrase_couch_312,kɑs
phrase_couch_315,kaʊtʃ
phrase_couch_318,kaʊtʃ
phrase_couch_321,kaʊtʃ
phrase_couch_325,kaʊtʃ
phrase_couch_326,kaʊtʃ
phrase_couch_recast_324,kaʊtʃ
phrase_dog_301,dɔg
phrase_dog_304,dɑg
phrase_dog_308,dɑg
phrase_dog_310,dɑg
phrase_dog_313,dɑg
phrase_dog_314,dɑg
phrase_dog_318,dɑg
phrase_dog_319,dɑg
phrase_dog_322,dɑg
phrase_dog_324,dɑg
phrase_dog_326,dɑg
phrase_dog_recast_317,dɑ
phrase_face_316,feɪs
phrase_fish_303,fɪʃ
phrase_fish_304,fɪʃ
phrase_fish_307,fiʃ
phrase_fish_309,fɪʃ
phrase_fish_311,fɪʃ
phrase_fish_314,fɪʃ
phrase_fish_315,fɪʃ
phrase_fish_319,fɪʃ
phrase_fish_320,fɪʃ
phrase_fish_323,fɪs
phrase_fish_325,fɪʃ
phrase_fish_recast_317,fɪʃ
phrase_game_303,geɪm
phrase_game_305,geɪm
phrase_game_308,geɪm
phrase_game_309,geɪm
phrase_game_312,gim
phrase_game_314,geɪm
phrase_game_316,geɪm
phrase_game_320,geɪp
phrase_game_321,geɪm
phrase_game_325,geɪm
phrase_game_326,geɪm
phrase_game_recast_323,geɪm
phrase_hammer_302,hæmər
phrase_hammer_304,hæmə
phrase_hammer_307,hæmoʊ
phrase_hammer_308,hæmər
phrase_hammer_311,hæmər
phrase_hammer_312,hæmə
phrase_hammer_315,hæmər
phrase_hammer_318,hæmər
phrase_hammer_321,hæmə
phrase_hammer_324,hæmər
phrase_hammer_325,pæmər
phrase_hammer_recast_319,hɛmər
phrase_hat_301,kæt
phrase_hat_304,hæt
phrase_hat_306,pæt
phrase_hat_308,hæt
phrase_hat_311,æt
phrase_hat_312,hæt
phrase_hat_315,hæt
phrase_hat_316,hʌt
phrase_hat_320,hɑt
phrase_hat_322,hæt
phrase_hat_324,hæt
phrase_hat_recast_317,hæt
phrase_house_301,haʊs
phrase_house_304,haʊs
phrase_house_305,haʊs
phrase_house_308,haʊs
phrase_house_310,haʊs
phrase_house_312,hɑs
phrase_house_315,haʊs
phrase_house_316,haʊs
phrase_house_321,haʊs
phrase_house_322,haʊs
phrase_house_325,haʊs
phrase_house_recast_317,haʊs
phrase_juice_301,dʒus
phrase_juice_304,dʒus
phrase_juice_305,dʒus
phrase_juice_309,dʒus
phrase_juice_310,dʒus
phrase_juice_313,dus
phrase_juice_315,dʒus
phrase_juice_318,dʒuʃ
phrase_juice_321,dʒus
phrase_juice_322,dus
phrase_juice_recast_307,dʒus
phrase_juice_recast_317,dʒus
phrase_knife_301,naɪf
phrase_knife_303,naɪf
phrase_knife_305,naɪv
phrase_knife_308,naɪf
phrase_knife_309,naɪf
phrase_knife_312,naɪf
phrase_knife_313,naɪf
phrase_knife_316,naɪf
phrase_knife_319,naɪf
phrase_knife_321,naɪf
phrase_knife_324,naɪf
phrase_knife_325,naɪf
phrase_lion_301,laɪən
phrase_lion_302,laɪən
phrase_lion_305,laɪən
phrase_lion_307,laɪən
phrase_lion_309,laɪən
phrase_lion_312,laɪlən
phrase_lion_313,laɪlɪŋ
phrase_lion_316,laɪən
phrase_lion_318,laɪən
phrase_lion_321,laɪən
phrase_lion_323,waɪən
phrase_lion_325,laɪən
phrase_magic_301,mædʒɪk
phrase_magic_302,mædʒɪk
phrase_magic_305,mɑdʒɪk
phrase_magic_306,mædʒɪk
phrase_magic_309,mædʒɪk
phrase_magic_312,mɑdik
phrase_magic_315,mædʒɪk
phrase_magic_320,bædʒɪk
phrase_magic_321,mædʒɪk
phrase_magic_325,mædʒɪk
phrase_magic_recast_311,mædʒər
phrase_magic_recast_318,mædʒɪk
phrase_magic_recast_326,mædʒɪk
phrase_money_302,mʌni
phrase_money_305,mʌni
phrase_money_306,mʌni
phrase_money_309,mʌni
phrase_money_310,mʌni
phrase_money_313,mʌhi
phrase_money_315,mʌni
phrase_money_318,mʌni
phrase_money_322,mʌni
phrase_money_323,mʌni
phrase_money_326,mʌni
phrase_money_recast_317,mʌni
phrase_mouth_302,maʊθ
phrase_mouth_304,maʊθ
phrase_mouth_306,maʊf
phrase_mouth_309,maʊθ
phrase_mouth_310,maʊθ
phrase_mouth_313,maʊf
phrase_mouth_314,maʊs
phrase_mouth_318,maʊθ
phrase_mouth_321,maʊs
phrase_mouth_324,maʊθ
phrase_mouth_recast_319,maʊs
phrase_mouth_recast_323,maʊf
phrase_page_302,peɪdʒ
phrase_page_303,peɪdʒ
phrase_page_306,peɪtʃ
phrase_page_308,peɪdʒ
phrase_page_310,peɪdʒ
phrase_page_313,pfɪʃ
phrase_page_314,peɪdʒ
phrase_page_320,peɪtʃ
phrase_page_321,pɪtʃ
phrase_page_324,pɪntʃ
phrase_page_recast_317,pɪtʃ
phrase_page_recast_319,peɪtʃ
phrase_potato_302,pəteɪtoʊ
phrase_potato_303,bəteɪtoʊ
phrase_potato_306,vəteɪtoʊ
phrase_potato_308,pəteɪtoʊ
phrase_potato_314,pəteɪtoʊ
phrase_potato_316,pəteɪtoʊ
phrase_potato_319,bəteɪtoʊ
phrase_potato_323,pəteɪtoʊ
phrase_potato_324,pəteɪtoʊ
phrase_potato_recast_310,pəteɪtoʊ
phrase_potato_recast_311,bəteɪtoʊ
phrase_potato_recast_322,pəteɪtoʊ
phrase_puzzle_301,pʌzəl
phrase_puzzle_303,pʌzəl
phrase_puzzle_306,pʌzəl
phrase_puzzle_307,pʌzəl
phrase_puzzle_310,pʌzəl
phrase_puzzle_311,pʌzəl
phrase_puzzle_314,pʌzəl
phrase_puzzle_316,pʌzəl
phrase_puzzle_319,pɑzoʊ
phrase_puzzle_322,pʌzəl
phrase_puzzle_323,pʌzəl
phrase_puzzle_326,pʌzə
phrase_ring_301,rɪŋg
phrase_ring_304,wɪŋ
phrase_ring_306,wɪŋ
phrase_ring_308,rɪŋ
phrase_ring_311,rɪŋ
phrase_ring_312,wɪŋ
phrase_ring_315,rɪŋ
phrase_ring_316,rɪŋk
phrase_ring_321,rɪŋ
phrase_ring_323,wɪŋk
phrase_ring_325,rɪŋ
phrase_ring_recast_319,rim
phrase_road_301,roʊd
phrase_road_304,woʊd
phrase_road_305,roʊd
phrase_road_308,roʊd
phrase_road_310,roʊd
phrase_road_312,woʊt
phrase_road_315,roʊd
phrase_road_316,roʊd
phrase_road_321,woʊd
phrase_road_322,woʊd
phrase_road_325,roʊd
phrase_road_recast_317,ʒoʊ
phrase_shoes_301,ʃuz
phrase_shoes_304,ʃuz
phrase_shoes_305,ʃuz
phrase_shoes_308,ʃuz
phrase_shoes_309,ʃuz
phrase_shoes_312,suz
phrase_shoes_314,ʃuz
phrase_shoes_316,ʃuz
phrase_shoes_320,tʃuz
phrase_shoes_321,ʃuz
phrase_shoes_325,ʃuz
phrase_shoes_326,ʃuz
phrase_sock_301,ʃɑk
phrase_sock_303,sɑ
phrase_sock_305,sɑk
phrase_sock_308,sɑk
phrase_sock_309,sɑk
phrase_sock_312,ʃɑk
phrase_sock_313,ʃɑk
phrase_sock_316,sɑk
phrase_sock_319,sɑk
phrase_sock_321,sɑk
phrase_sock_324,sɑk
phrase_sock_325,sɑk
phrase_table_301,teɪbəl
phrase_table_302,teɪbəl
phrase_table_305,teɪvəl
phrase_table_307,teɪbəl
phrase_table_309,teɪbəl
phrase_table_312,tibu
phrase_table_313,tiboʊ
phrase_table_316,teɪbəl
phrase_table_318,teɪbəl
phrase_table_321,teɪbə
phrase_table_323,teɪbəl
phrase_table_325,teɪbəl
phrase_tape_302,teɪp
phrase_tape_303,teɪp
phrase_tape_306,taɪp
phrase_tape_307,teɪ
phrase_tape_310,teɪp
phrase_tape_312,tip
phrase_tape_314,teɪp
phrase_tape_318,teɪp
phrase_tape_320,teɪp
phrase_tape_323,teɪp
phrase_tape_324,teɪp
phrase_tape_recast_301,teɪp
phrase_tape_recast_319,teɪp
phrase_teacher_302,titʃər
phrase_teacher_307,titʃoʊ
phrase_teacher_308,titʃər
phrase_teacher_311,titʃər
phrase_teacher_312,tisu
phrase_teacher_316,titʃər
phrase_teacher_320,titʃ
phrase_teacher_323,titʃər
phrase_teacher_recast_303,titʃər
phrase_teacher_recast_306,titʃoʊ
phrase_teacher_recast_319,tʃitʃər
phrase_teacher_recast_322,titʃoʊ
phrase_thumb_302,θʌm
phrase_thumb_304,θʌm
phrase_thumb_306,fʌn
phrase_thumb_309,θʌm
phrase_thumb_310,sʌm
phrase_thumb_313,fʌm
phrase_thumb_314,sʌm
phrase_thumb_318,θʌm
phrase_thumb_321,ðʌm
phrase_thumb_323,θʌm
phrase_thumb_326,θʌm
phrase_thumb_recast_317,sʌ
phrase_tiger_302,taɪgər
phrase_tiger_303,taɪgər
phrase_tiger_306,taɪgoʊ
phrase_tiger_308,taɪgər
phrase_tiger_310,taɪgər
phrase_tiger_313,tsaɪgoʊ
phrase_tiger_314,taɪgər
phrase_tiger_319,taɪgər
phrase_tiger_320,taɪhoʊ
phrase_tiger_323,taɪgər
phrase_tiger_325,taɪgər
phrase_tiger_recast_317,tɑdoʊ
phrase_toilet_302,tɔɪlət
phrase_toilet_303,tɔɪlət
phrase_toilet_306,tʃɔɪlət
phrase_toilet_307,tɔɪlət
phrase_toilet_310,tɔɪlɛt
phrase_toilet_312,kjolət
phrase_toilet_314,tɔɪlət
phrase_toilet_318,tɔɪlət
phrase_toilet_320,tɔɪlət
phrase_toilet_323,tɔɪwət
phrase_toilet_324,tɔɪlət
phrase_toilet_recast_317,tɔɪlət
phrase_TV_301,tivi
phrase_TV_303,tivi
phrase_TV_306,tizju
phrase_TV_307,tivi
phrase_TV_311,tivi
phrase_TV_312,tifi
phrase_TV_315,tivi
phrase_TV_318,tivi
phrase_TV_320,tivi
phrase_TV_323,tivi
phrase_TV_324,tivi
phrase_TV_recast_317,tibi
phrase_TV_recast_325,tifi
phrase_van_305,fæn
phrase_van_308,væn
phrase_van_312,fʌn
phrase_van_316,væn
phrase_van_318,væn
phrase_van_325,væn
phrase_van_recast_301,vɛn
phrase_van_recast_309,væn
phrase_van_recast_313,bɑn
phrase_van_recast_319,væn
phrase_van_recast_324,væn
phrase_van_recast_326,væn
phrase_video_302,vɪdioʊ
phrase_video_303,vɪdioʊ
phrase_video_306,vɪdioʊ
phrase_video_308,vɪdioʊ
phrase_video_312,fɪdʒoʊ
phrase_video_315,vɪdioʊ
phrase_video_316,vɪdioʊ
phrase_video_324,vɪdioʊ
phrase_video_recast_311,vɪdioʊ
phrase_video_recast_319,vɪdiɔ
phrase_video_recast_323,vɪdioʊ
phrase_video_recast_326,vɪjoʊ
phrase_wave_302,weɪv
phrase_wave_303,weɪv
phrase_wave_306,weɪf
phrase_wave_307,weɪv
phrase_wave_311,weɪv
phrase_wave_313,wɪs
phrase_wave_315,weɪv
phrase_wave_320,weɪv
phrase_wave_321,weɪv
phrase_wave_325,weɪv
phrase_wave_326,weɪv
phrase_wave_recast_322,weɪv
phrase_web_302,wɛv
phrase_web_304,wɛb
phrase_web_307,wɛ
phrase_web_308,wɛb
phrase_web_311,wɛb
phrase_web_312,wæp
phrase_web_315,wɛb
phrase_web_318,wɛb
phrase_web_321,wɛb
phrase_web_324,wɛb
phrase_web_325,wɛb
phrase_web_recast_326,wɛb
phrase_yelllow_305,jɛloʊ
phrase_yellow_304,jɛloʊ
phrase_yellow_308,jɛloʊ
phrase_yellow_310,jɛloʊ
phrase_yellow_314,sjɛldoʊ
phrase_yellow_315,jɛloʊ
phrase_yellow_320,jɛl
phrase_yellow_321,jɛwoʊ
phrase_yellow_recast_307,lɛloʊ
phrase_yellow_recast_317,jɛloʊ
phrase_yellow_recast_322,jɛwoʊ
phrase_yellow_recast_326,jɛloʊ
,
word_apple_301,æpəl
word_apple_304,æpəl
word_apple_305,æpəl
word_apple_308,æpəl
word_apple_310,æpəl
word_apple_312,æpu
word_apple_315,æpəl
word_apple_316,æpəl
word_apple_320,æpoʊ
word_apple_321,æpəl
word_apple_324,æpəl
word_apple_326,æpəl
word_baby_301,beɪbi
word_baby_304,beɪbi
word_baby_305,beɪbi
word_baby_308,beɪbi
word_baby_309,beɪbi
word_baby_312,bibi
word_baby_314,beɪbi
word_baby_316,beɪbi
word_baby_320,beɪbi
word_baby_321,beɪbi
word_baby_324,beɪbi
word_baby_325,beɪbi
word_beach_301,bitʃ
word_beach_303,bitʃ
word_beach_305,bitʃ
word_beach_308,bitʃ
word_beach_309,bitʃ
word_beach_312,bits
word_beach_313,bitʃ
word_beach_316,bitʃ
word_beach_320,bitʃ
word_beach_323,bit
word_beach_326,bitʃ
word_beach_recast_317,bitʃ
word_cake_301,keɪk
word_cake_302,keɪk
word_cake_305,keɪk
word_cake_307,keɪk
word_cake_309,keɪk
word_cake_312,kɪk
word_cake_313,kɪk
word_cake_316,keɪk
word_cake_318,keɪk
word_cake_321,keɪk
word_cake_323,keɪk
word_cake_325,keɪk
word_chair_301,tʃɛr
word_chair_302,tʃɛr
word_chair_305,tʃɛr
word_chair_306,tʃɛoʊ
word_chair_309,tʃɛr
word_chair_311,tʃɛr
word_chair_313,tɑ
word_chair_316,tʃɛr
word_chair_318,tʃɛr
word_chair_321,tʃɛr
word_chair_322,tɛw
word_chair_325,tɛr
word_chair_recast_317,tʃɛr
word_coloring_321,kʌlərɪn
word_color_301,kʌlə
word_color_302,kʌlər
word_color_305,kʌlər
word_color_309,kʌlər
word_color_312,kɑlu
word_color_316,kʌlər
word_color_recast_306,kʌloʊ
word_color_recast_313,kʌlu
word_color_recast_314,kʌlər
word_color_recast_322,kʌwoʊ
word_color_recast_325,kʌlər
word_doll_302,dɑl
word_doll_304,dɑl
word_doll_306,dɑw
word_doll_309,dɑl
word_doll_310,dɑl
word_doll_313,dɑw
word_doll_314,dɑl
word_doll_318,dɑl
word_doll_320,dɑl
word_doll_322,dɑl
word_doll_325,dɑl
word_doll_326,dɑli
word_face_302,feɪs
word_face_303,feɪs
word_face_307,feɪs
word_face_309,feɪs
word_face_311,feɪs
word_face_314,feɪs
word_face_315,feɪs
word_face_321,feɪs
word_face_322,veɪs
word_face_325,feɪs
word_face_recast_306,feɪs
word_face_recast_319,feɪs
word_five_303,faɪf
word_five_304,faɪv
word_five_307,faɪf
word_five_308,faɪv
word_five_311,faɪv
word_five_313,faɪv
word_five_315,faɪv
word_five_319,faɪf
word_five_320,faɪv
word_five_323,faɪf
word_five_324,faɪv
word_five_recast_317,faɪoʊ
word_foot_302,fʊt
word_foot_304,fʊt
word_foot_308,fʊt
word_foot_309,fʊt
word_foot_312,fut
word_foot_313,təsu
word_foot_316,fʊt
word_foot_321,fʊ
word_foot_323,fʊt
word_foot_326,fʌt
word_foot_recast_306,fʊt
word_foot_recast_319,fʊt
word_game_301,geɪm
word_game_304,geɪm
word_game_309,geɪm
word_game_311,geɪm
word_game_314,geɪm
word_game_315,geɪm
word_game_321,geɪm
word_game_322,geɪm
word_game_325,geɪm
word_game_recast_306,geɪm
word_game_recast_317,geɪm
word_hammer_301,hæmər
word_hammer_302,hæmər
word_hammer_305,hæmər
word_hammer_306,hæmoʊ
word_hammer_309,hæmər
word_hammer_311,hæmər
word_hammer_313,hæmoʊ
word_hammer_316,hæmər
word_hammer_318,hæmər
word_hammer_322,hæmwoʊ
word_hammer_323,hæmər
word_hammer_326,hæmɑ
word_hammer_recast_319,hɛmər
word_heavy_302,hɛvi
word_heavy_306,hɛvi
word_heavy_308,hɛvi
word_heavy_311,hɛvi
word_heavy_315,hɛvi
word_heavy_recast_304,hɛv
word_heavy_recast_312,hɑfi
word_heavy_recast_314,hɛvi
word_heavy_recast_319,hɛzi
word_heavy_recast_320,hɛvi
word_heavy_recast_324,hɛvi
word_heavy_recast_325,hɛvi
word_honey_302,hʌni
word_honey_304,hʌni
word_honey_306,hʌni
word_honey_309,hʌni
word_honey_310,hʌni
word_honey_313,hʌni
word_honey_314,hʌni
word_honey_318,hʌni
word_honey_321,hʌni
word_honey_323,hʌni
word_honey_326,hæni
word_honey_recast_317,hʌni
word_jacket_302,dʒækət
word_jacket_303,dʒækət
word_jacket_308,dʒækət
word_jacket_310,dʒækət
word_jacket_313,dɑkits
word_jacket_316,dʒækət
word_jacket_318,dʒækət
word_jacket_322,dʒækət
word_jacket_323,dʒækət
word_jacket_recast_305,dʒækət
word_jacket_recast_312,dɑtit
word_jacket_recast_319,dʒækət
word_kitchen_302,kɪtʃən
word_kitchen_303,kɪtʃən
word_kitchen_306,kɪtsən
word_kitchen_307,kɪtʃən
word_kitchen_310,kɪtʃən
word_kitchen_312,kitsin
word_kitchen_314,kɪtʃən
word_kitchen_318,kɪtʃən
word_kitchen_320,kɪtʃə
word_kitchen_323,kɪtən
word_kitchen_324,kɪtʃən
word_kitchen_recast_317,kɪtʃən
word_leaf_301,liv
word_leaf_303,lif
word_leaf_306,lif
word_leaf_307,liv
word_leaf_310,lif
word_leaf_311,lis
word_leaf_314,lif
word_leaf_316,lif
word_leaf_319,leɪfs
word_leaf_322,wif
word_leaf_324,lif
word_leaf_recast_317,lif
word_leaf_recast_323,wif
word_magic_304,mædʒɪk
word_magic_308,mædʒɪk
word_magic_312,mɑdik
word_magic_316,mædʒɪk
word_magic_321,mædʒɪk
word_magic_recast_306,mædʒɪk
word_magic_recast_307,mædʒɪk
word_magic_recast_314,mædʒɪk
word_magic_recast_318,mædʒɪk
word_magic_recast_320,bædʒɪk
word_magic_recast_324,mædʒɪ
word_magic_recast_325,mædʒɪk
word_moon_303,mu
word_moon_304,mun
word_moon_307,mun
word_moon_309,mun
word_moon_311,mun
word_moon_314,mun
word_moon_315,mun
word_moon_319,mun
word_moon_320,bud
word_moon_323,mun
word_moon_325,mun
word_moon_recast_317,mun
word_nose_303,noʊz
word_nose_304,noʊz
word_nose_308,noʊz
word_nose_309,noʊz
word_nose_312,nus
word_nose_314,noʊz
word_nose_316,noʊz
word_nose_320,noʊz
word_nose_321,noʊz
word_nose_324,noʊz
word_nose_325,noʊz
word_page_301,peɪdʒ
word_page_303,peɪdʒ
word_page_305,peɪdʒ
word_page_308,peɪdʒ
word_page_309,peɪdʒ
word_page_314,peɪdʒ
word_page_315,peɪdʒ
word_page_320,peɪdʒ
word_page_322,peɪds
word_page_325,peɪdsəs
word_page_recast_317,peɪdʒ
word_page_recast_319,peɪdʒ
word_pig_301,pɪg
word_pig_302,pɪg
word_pig_305,pɪg
word_pig_307,pɪg
word_pig_309,pɪg
word_pig_312,pik
word_pig_313,pig
word_pig_316,pɪg
word_pig_318,pɪg
word_pig_321,pɪg
word_pig_324,pɪg
word_pig_326,bɪg
word_puzzle_301,pʌzəl
word_puzzle_302,pʌzəl
word_puzzle_305,pʌzəl
word_puzzle_306,pʌzoʊ
word_puzzle_309,pʌzəl
word_puzzle_311,pʌzəl
word_puzzle_313,pɑzθɑ
word_puzzle_316,pʌzəl
word_puzzle_318,pʌzəl
word_puzzle_321,pʌzələ
word_puzzle_322,pʌzoʊ
word_puzzle_325,pʌzəl
word_puzzle_recast_317,pʌdzoʊ
word_red_302,rɛd
word_red_305,rɛd
word_red_306,wɛd
word_red_309,rɛd
word_red_310,rɛd
word_red_313,wɑd
word_red_315,rɛd
word_red_318,rɛd
word_red_321,rɛd
word_red_322,wɛd
word_red_325,rɛd
word_red_326,wɛd
word_shapes_323,ʃeɪps
word_shape_302,ʃeɪp
word_shape_310,ʃeɪp
word_shape_315,ʃeɪp
word_shape_316,ʃeɪp
word_shape_recast_303,ʃeɪp
word_shape_recast_304,ʃeɪp
word_shape_recast_307,ʃeɪp
word_shape_recast_311,ʃeɪp
word_shape_recast_317,ʃeɪf
word_shape_recast_322,seɪp
word_shape_recast_324,ʃeɪp
word_singing_303,sɪŋɪŋ
word_singing_304,sɪŋɪŋ
word_singing_310,sɪŋɪŋ
word_singing_313,sinin
word_singing_321,sɪŋɪŋ
word_sing_301,sɪŋg
word_sing_302,sɪŋ
word_sing_308,sɪŋ
word_sing_311,sɪŋ
word_sing_318,sɪŋ
word_sing_324,sɪŋ
word_sing_326,sɪŋ
word_sneeze_306,noʊz
word_soap_305,geɪm
word_teeth_303,tiθ
word_teeth_304,tiθ
word_teeth_307,tiθ
word_teeth_309,tiθ
word_teeth_311,tif
word_teeth_314,tiθ
word_teeth_315,tiθ
word_teeth_319,tiz
word_teeth_320,tiθ
word_teeth_323,tif
word_teeth_325,tiθ
word_teeth_recast_317,tiθ
word_thumb_303,fʌm
word_thumb_304,θʌm
word_thumb_307,fʌm
word_thumb_308,θʌm
word_thumb_311,θʌm
word_thumb_313,fʌm
word_thumb_315,θʌm
word_thumb_320,θʌ
word_thumb_321,dʌm
word_thumb_324,θʌmp
word_thumb_325,θʌm
word_thumb_recast_319,θʌm
word_toys_302,tɔɪz
word_toys_304,tɔɪz
word_toys_307,tɔɪz
word_toys_308,tɔɪz
word_toys_311,tɔɪz
word_toys_312,tsɔɪz
word_toys_316,tɔɪz
word_toys_320,tɔɪz
word_toys_322,tɔɪz
word_toys_325,tɔɪz
word_toys_326,tɔɪ
word_toys_recast_319,tɔɪz
word_videos_309,vɪdioʊz
word_video_302,vɪdioʊ
word_video_308,vɪdioʊ
word_video_316,vɪdioʊ
word_video_recast_306,vɪdioʊ
word_video_recast_307,vɪdioʊ
word_video_recast_313,fɪdɪdoʊ
word_video_recast_314,vɪdioʊ
word_video_recast_319,vɪdioʊ
word_video_recast_321,vɪdioʊ
word_video_recast_323,vɪdioʊ
word_video_recast_326,vɪdijɑ
word_wagon_302,wægən
word_wagon_306,wægən
word_wagon_307,wægən
word_wagon_312,wædʒən
word_wagon_314,wægən
word_wagon_316,wægən
word_wagon_321,wægən
word_wagon_322,wægən
word_wagon_326,wægən
word_wagon_recast_301,wægən
word_wagon_recast_311,wægən
word_wagon_recast_318,wægən
word_wash_301,wɑʃ
word_wash_304,wɑʃ
word_wash_305,wɑʃ
word_wash_308,wɑʃ
word_wash_313,wɑʃ
word_wash_320,wɑʃ
word_wash_322,bwɑs
word_wash_325,wɑʃ
word_wash_recast_311,wɑʃ
word_wash_recast_312,lɑs
word_wash_recast_317,wɑʃ
word_wash_recast_319,wɑʃ
word_water_301,wɑtər
word_water_303,wɑtər
word_water_305,wɑtə
word_water_308,wɑtər
word_water_309,wɑtər
word_water_312,wɑtstu
word_water_313,wɑdoʊ
word_water_316,wɑtər
word_water_319,vɑtər
word_water_321,gwɑtər
word_water_324,wɑtər
word_water_325,wɑtər
word_web_301,wɛb
word_web_302,wɛb
word_web_305,wɛb
word_web_307,wɛb
word_web_309,wɛb
word_web_312,wɑb
word_web_313,wɑb
word_web_316,wɛb
word_web_318,wɛb
word_web_322,wɛb
word_web_324,wɛb
word_web_recast_317,wɛ
word_yelling_313,laʊwɪn
word_yelling_323,laʊwɪn
word_yell_306,jɛoʊ
word_yell_308,jɛl
word_yell_320,jɛl
word_yell_recast_302,jɛl
word_yell_recast_304,jɛl
word_yell_recast_310,jɛl
word_yell_recast_312,laʊ
word_yell_recast_317,jɛl
word_yell_recast_318,jɛl
word_yell_recast_322,jɛoʊ
word_yell_recast_326,jɛl
